permutation;execution_tree;approx_time;actual_time
[5 3 4 0 6 1 2];(((lineorderX(customer𝜎c_region∊['ASIA']))X(supplier𝜎s_region∊['ASIA']))X((date𝜎d_year≥1992)𝜎d_year≤1997));8.58076999526699;0.6951403617858887
[6 2 5 0 4 3 1];(((((lineorderX(date𝜎d_year≤1997))𝜎d_year≥1992)Xcustomer)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']));8.590462168624004;6.358913421630859
[0 4 6 2 5 3 1];(((((lineorderXcustomer)X(date𝜎d_year≤1997))𝜎d_year≥1992)𝜎c_region∊['ASIA'])X(supplier𝜎s_region∊['ASIA']));8.60517088426293;6.322573661804199
[6 4 2 1 3 5 0];((((lineorderX(date𝜎d_year≤1997))X(supplier𝜎s_region∊['ASIA']))𝜎d_year≥1992)X(customer𝜎c_region∊['ASIA']));8.579063015155935;2.6395320892333984
[0 4 6 5 3 2 1];((((lineorderXcustomer)𝜎c_region∊['ASIA'])X((date𝜎d_year≤1997)𝜎d_year≥1992))X(supplier𝜎s_region∊['ASIA']));8.591242617007563;2.972543478012085
[2 5 3 6 4 0 1];(((((lineorderXdate)𝜎d_year≥1992)𝜎d_year≤1997)X(customer𝜎c_region∊['ASIA']))X(supplier𝜎s_region∊['ASIA']));8.579453036021981;3.7775332927703857
[2 5 4 3 6 1 0];(((((lineorderXdate)𝜎d_year≥1992)𝜎d_year≤1997)X(supplier𝜎s_region∊['ASIA']))X(customer𝜎c_region∊['ASIA']));8.579390025192165;3.8830161094665527
[2 3 1 4 6 0 5];((((((lineorderXdate)Xsupplier)𝜎s_region∊['ASIA'])𝜎d_year≤1997)X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992);8.580325969690834;6.662250518798828
[3 0 2 1 6 5 4];((((((lineorderX(customer𝜎c_region∊['ASIA']))Xdate)Xsupplier)𝜎d_year≤1997)𝜎d_year≥1992)𝜎s_region∊['ASIA']);8.582491224362576;2.0959064960479736
[1 4 3 5 0 2 6];(((((lineorderXsupplier)𝜎s_region∊['ASIA'])X(customer𝜎c_region∊['ASIA']))X(date𝜎d_year≥1992))𝜎d_year≤1997);8.579167586316611;2.716094493865967
[1 3 0 6 2 4 5];(((((lineorderXsupplier)X(customer𝜎c_region∊['ASIA']))X(date𝜎d_year≤1997))𝜎s_region∊['ASIA'])𝜎d_year≥1992);8.580292687869065;3.3135104179382324
[2 6 1 3 0 5 4];((((((lineorderXdate)𝜎d_year≤1997)Xsupplier)X(customer𝜎c_region∊['ASIA']))𝜎d_year≥1992)𝜎s_region∊['ASIA']);8.58027449858434;7.07962441444397
[5 6 2 1 4 0 3];(((((lineorderX((date𝜎d_year≥1992)𝜎d_year≤1997))Xsupplier)𝜎s_region∊['ASIA'])Xcustomer)𝜎c_region∊['ASIA']);8.590695870409922;6.5171802043914795
[1 2 4 5 6 0 3];(((((((lineorderXsupplier)Xdate)𝜎s_region∊['ASIA'])𝜎d_year≥1992)𝜎d_year≤1997)Xcustomer)𝜎c_region∊['ASIA']);8.591652004362905;7.345242500305176
[6 5 4 1 2 0 3];((((lineorderX(supplier𝜎s_region∊['ASIA']))X((date𝜎d_year≤1997)𝜎d_year≥1992))Xcustomer)𝜎c_region∊['ASIA']);8.590283324192669;1.8105289936065674
[0 3 2 1 6 4 5];(((((((lineorderXcustomer)𝜎c_region∊['ASIA'])Xdate)Xsupplier)𝜎d_year≤1997)𝜎s_region∊['ASIA'])𝜎d_year≥1992);8.5921433576713;3.9454193115234375
[5 6 1 0 2 3 4];(((((lineorderXsupplier)Xcustomer)X((date𝜎d_year≥1992)𝜎d_year≤1997))𝜎c_region∊['ASIA'])𝜎s_region∊['ASIA']);8.591694901662136;11.281464576721191
