permutation;execution_tree;approx_time;actual_time;approx_time;actual_time;approx_time;;a;b;c
[4 3 1 2 0];(((lineorderX(part𝜎p_category∊['MFGR#12']))X(supplier𝜎s_region∊['AMERICA']))Xdate);8.58945362785168;0.28862428665161133;8,589453628;0,288624287;4,035781451;;0;0,4;-0,4
[3 1 0 4 2];(((lineorderX(part𝜎p_category∊['MFGR#12']))Xdate)X(supplier𝜎s_region∊['AMERICA']));8.590143520352287;0.35888004302978516;8,59014352;0,358880043;4,036057408;;;;
[3 1 2 4 0];((((lineorderX(part𝜎p_category∊['MFGR#12']))Xsupplier)𝜎s_region∊['AMERICA'])Xdate);8.589878608619156;0.3692793846130371;8,589878609;0,369279385;4,035951443;;;;
[3 1 0 2 4];((((lineorderX(part𝜎p_category∊['MFGR#12']))Xdate)Xsupplier)𝜎s_region∊['AMERICA']);8.590636200476478;0.46427106857299805;8,5906362;0,464271069;4,03625448;;;;
[3 1 2 0 4];((((lineorderX(part𝜎p_category∊['MFGR#12']))Xsupplier)Xdate)𝜎s_region∊['AMERICA']);8.590438988100065;0.46923255920410156;8,590438988;0,469232559;4,036175595;;;;
[4 3 2 1 0];(((lineorderX(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_category∊['MFGR#12']))Xdate);8.5864959272193;0.4888622760772705;8,586495927;0,488862276;4,034598371;;;;
[4 2 0 3 1];(((lineorderX(supplier𝜎s_region∊['AMERICA']))Xdate)X(part𝜎p_category∊['MFGR#12']));8.5864959272193;0.860842227935791;8,586495927;0,860842228;4,034598371;;;;
[4 2 1 3 0];((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xpart)𝜎p_category∊['MFGR#12'])Xdate);8.720562291846864;1.0213911533355713;8,720562292;1,021391153;4,088224917;;;;
[4 2 0 1 3];((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xdate)Xpart)𝜎p_category∊['MFGR#12']);8.720645815075308;1.5883262157440186;8,720645815;1,588326216;4,088258326;;;;
[4 2 1 0 3];((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xpart)Xdate)𝜎p_category∊['MFGR#12']);8.720645815075308;1.643601417541504;8,720645815;1,643601418;4,088258326;;;;
[3 0 1 4 2];(((lineorderXdate)X(part𝜎p_category∊['MFGR#12']))X(supplier𝜎s_region∊['AMERICA']));8.587875712220509;1.914618730545044;8,587875712;1,914618731;4,035150285;;;;
[3 0 1 2 4];((((lineorderXdate)X(part𝜎p_category∊['MFGR#12']))Xsupplier)𝜎s_region∊['AMERICA']);8.5883683923447;2.0142712593078613;8,588368392;2,014271259;4,035347357;;;;
[2 3 1 4 0];((((lineorderXsupplier)X(part𝜎p_category∊['MFGR#12']))𝜎s_region∊['AMERICA'])Xdate);8.58739776428984;2.0214810371398926;8,587397764;2,021481037;4,034959106;;;;
[2 3 1 0 4];((((lineorderXsupplier)X(part𝜎p_category∊['MFGR#12']))Xdate)𝜎s_region∊['AMERICA']);8.587973967591875;2.148360013961792;8,587973968;2,148360014;4,035189587;;;;
