permutation;actual_time;approx_time
[3, 0, 6, 2, 5, 1, 4];7.662590026855469;7.855609100000002
[2, 4, 1, 0, 6, 5, 3];7.284217834472656;6.451412744000001
[4, 0, 3, 5, 1, 6, 2];1.1184470653533936;7.251292
[0, 1, 2, 6, 5, 4, 3];12.796172857284546;6.388399628800001
[0, 2, 1, 5, 4, 3, 6];12.71734881401062;6.287579956000002
[2, 0, 4, 3, 1, 5, 6];8.698755264282227;5.135355124000001
[4, 5, 3, 1, 6, 0, 2];2.614706754684448;7.251292000000001
[4, 5, 2, 0, 3, 6, 1];3.928376436233521;6.787198320000001
[4, 5, 6, 2, 1, 0, 3];1.263883113861084;7.251292000000001
[4, 1, 2, 0, 5, 6, 3];6.740212202072144;6.331389324000001
[3, 2, 5, 4, 6, 0, 1];7.64139199256897;5.706987540000001
[2, 4, 5, 3, 6, 0, 1];7.582890033721924;5.706987540000001
[4, 1, 2, 0, 5, 3, 6];6.880083560943604;6.54743148
[0, 1, 4, 6, 2, 5, 3];6.758871555328369;4.807294232
[5, 6, 2, 0, 3, 4, 1];3.975999116897583;6.415328060000001
[3, 2, 0, 1, 4, 6, 5];21.036731243133545;8.039921888000002
[3, 0, 4, 5, 2, 1, 6];6.945606470108032;5.1110704400000015
[3, 5, 2, 1, 6, 0, 4];7.5254225730896;7.0314451600000005
[5, 1, 0, 3, 6, 4, 2];1.6532750129699707;6.41532806
[0, 6, 4, 3, 1, 5, 2];3.7674713134765625;3.3670131920000004
[1, 2, 3, 4, 0, 6, 5];12.869115591049194;8.107735940000001
[0, 4, 5, 1, 2, 3, 6];2.7995593547821045;3.6707894000000008
[5, 3, 4, 0, 2, 6, 1];3.337852001190185;6.787198320000001
[2, 0, 6, 5, 3, 1, 4];9.525596141815186;5.951234380000002
[6, 3, 0, 4, 2, 5, 1];6.34457540512085;4.975047020000002
[6, 4, 1, 5, 3, 2, 0];3.064360857009888;3.5308459800000005
[0, 6, 1, 2, 5, 4, 3];8.383521795272827;6.247575272000001
[5, 4, 0, 2, 6, 1, 3];1.2096307277679443;5.706987540000001
[1, 0, 4, 6, 5, 2, 3];6.501647233963013;4.519238024000001
[0, 2, 3, 4, 1, 6, 5];14.331590175628662;6.599640848000001
[0, 6, 5, 1, 3, 4, 2];3.2309730052948;6.415328060000001
[3, 4, 6, 2, 0, 1, 5];4.055613517761231;7.8516891000000015
[2, 3, 4, 1, 0, 6, 5];13.517284631729126;8.107735940000001
[0, 5, 3, 6, 2, 1, 4];7.67786169052124;7.855609100000002
[3, 4, 2, 6, 1, 0, 5];9.360110998153688;5.947314380000002
[2, 6, 5, 3, 0, 1, 4];6.227529525756836;4.871023600000001
[1, 4, 0, 5, 6, 3, 2];2.8033132553100586;4.971127019999999
[1, 2, 0, 6, 3, 4, 5];15.622371673583984;7.079734528
[1, 5, 0, 3, 6, 2, 4];3.682887554168701;3.6550694000000004
[1, 5, 2, 4, 3, 0, 6];3.5047836303710938;3.6668694000000004
[6, 1, 0, 3, 4, 2, 5];12.401644468307495;6.53563148
[4, 3, 0, 1, 6, 2, 5];3.3364098072052;7.851689100000001
[3, 1, 5, 6, 4, 2, 0];6.633826732635498;4.97112702
[6, 4, 0, 5, 1, 3, 2];0.6725456714630127;7.251292
[0, 1, 6, 3, 5, 2, 4];12.474628210067747;6.535631480000001
[5, 3, 6, 0, 4, 1, 2];6.048566579818726;4.975047020000001
[3, 4, 6, 5, 2, 0, 1];3.71645736694336;7.251292000000001
[4, 5, 1, 6, 3, 0, 2];0.9939460754394532;7.251292000000001
[2, 0, 4, 3, 1, 6, 5];8.84327244758606;5.1593598080000005
[6, 5, 4, 1, 0, 3, 2];0.6699252128601074;7.251292000000001
[2, 0, 4, 3, 6, 5, 1];8.074133157730103;4.895028284000001
[3, 4, 6, 5, 2, 1, 0];3.6915769577026367;7.251292000000001
[3, 0, 6, 2, 4, 5, 1];7.918806791305542;6.415328060000002
[2, 6, 4, 0, 3, 5, 1];3.643069267272949;4.62677676
[2, 0, 4, 1, 5, 6, 3];7.935608863830566;4.8040904848000014
[1, 4, 2, 6, 5, 0, 3];6.970187187194824;4.795089548000001
[4, 0, 2, 3, 5, 6, 1];1.8232381343841555;6.787198320000002
[0, 4, 6, 1, 3, 2, 5];3.818049192428589;3.655069400000001
[0, 5, 3, 1, 4, 2, 6];5.91437554359436;6.551351480000001
[2, 4, 3, 1, 6, 5, 0];13.299868822097778;6.451412744000001
[0, 5, 1, 4, 3, 2, 6];2.7373454570770264;5.111070440000001
[2, 0, 5, 4, 6, 1, 3];7.155176162719727;4.678986128000001
[0, 4, 2, 5, 6, 3, 1];3.3288652896881104;3.2387050880000006
[4, 1, 6, 3, 0, 5, 2];6.369825124740601;6.41140806
[4, 2, 3, 6, 0, 1, 5];7.886016845703125;5.947314380000002
[5, 6, 2, 3, 0, 4, 1];3.98201847076416;6.415328060000001
[4, 3, 1, 0, 2, 6, 5];7.489363193511963;8.107735940000001
[2, 5, 6, 1, 4, 0, 3];3.4554922580718994;4.62677676
[6, 1, 5, 4, 3, 0, 2];2.858363389968872;3.5308459800000005
[1, 0, 2, 5, 3, 6, 4];13.365988492965698;6.599640848000001
[3, 4, 1, 0, 2, 5, 6];7.356755256652832;7.987712520000001
[0, 6, 3, 1, 4, 5, 2];11.663846254348757;6.2475752720000015
[4, 0, 1, 3, 2, 6, 5];2.50223445892334;8.107735940000001
[6, 0, 5, 3, 2, 4, 1];7.701721429824829;6.415328060000001
[4, 5, 0, 2, 3, 1, 6];1.7375247478485107;7.8674091000000015
[4, 5, 3, 0, 1, 2, 6];2.591527938842773;7.867409100000002
[2, 0, 5, 4, 1, 6, 3];7.228455781936645;4.895028284000001
[6, 1, 5, 0, 3, 4, 2];3.4706830978393555;3.3670131920000004
[2, 4, 0, 1, 3, 5, 6];4.501909017562866;7.9877125200000005
[2, 3, 5, 0, 1, 6, 4];13.179548263549805;8.11165594
[0, 4, 5, 2, 3, 1, 6];3.666789293289185;3.6707894000000008
[4, 2, 1, 6, 0, 5, 3];7.4413604736328125;5.371201964000001
[6, 2, 4, 3, 1, 0, 5];3.7088024616241455;7.8516891000000015
[5, 0, 2, 1, 4, 6, 3];6.874590635299683;6.335309324000001
[0, 5, 2, 6, 1, 3, 4];7.84458327293396;5.951234380000001
[2, 1, 4, 6, 0, 3, 5];7.788971662521362;5.947314380000001
[4, 3, 5, 0, 6, 2, 1];2.672606468200684;7.251292000000001
[6, 0, 4, 3, 5, 2, 1];3.194234609603882;3.5347659800000004
[5, 4, 6, 3, 1, 2, 0];2.675903081893921;7.251292000000001
[1, 5, 2, 0, 3, 6, 4];4.437153577804565;3.7190787680000006
[0, 4, 1, 2, 5, 6, 3];3.6770987510681152;3.3638094448000007
[2, 1, 5, 4, 6, 3, 0];7.035291194915772;4.675066128000001
[1, 6, 3, 5, 4, 0, 2];6.320715188980103;4.97112702
[3, 0, 5, 1, 2, 4, 6];6.710619211196899;7.991632520000001
[4, 5, 3, 2, 6, 1, 0];7.627839803695679;5.706987540000001
[4, 1, 0, 6, 2, 5, 3];2.8286333084106445;6.41140806
[0, 4, 1, 6, 2, 3, 5];3.443223476409912;3.655069400000001
[2, 1, 0, 6, 4, 3, 5];13.510751485824583;6.503622112
