permutation;execution_tree;approx_time;actual_time
[3 0 6 2 5 1 4];(((((lineorderXdate)Xcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']);8.648678648395926;7.662590026855469
[2 4 1 0 6 5 3];((((((lineorderXpart)Xsupplier)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA'])Xdate);8.869555913988625;7.284217834472656
[4 0 3 5 1 6 2];((((lineorderX(customer𝜎c_region∊['AMERICA']))Xdate)X(supplier𝜎s_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.637785534469039;1.1184470653533936
[0 1 2 6 5 4 3];(((((((lineorderXcustomer)Xsupplier)Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])Xdate);8.751243750158325;12.796172857284546
[0 2 1 5 4 3 6];(((((((lineorderXcustomer)Xpart)Xsupplier)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.76552370968367;12.71734881401062
[2 0 4 3 1 5 6];(((((((lineorderXpart)Xcustomer)𝜎c_region∊['AMERICA'])Xdate)Xsupplier)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']);8.882085299550385;8.698755264282227
[4 5 3 1 6 0 2];((((lineorderXdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']));8.635715671893605;2.6147067546844482
[4 5 2 0 3 6 1];(((((lineorderXpart)X(customer𝜎c_region∊['AMERICA']))Xdate)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']));8.870737052987192;3.9283764362335205
[4 5 6 2 1 0 3];((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA']))Xdate);8.683142421141184;1.263883113861084
[4 1 2 0 5 6 3];((((((lineorderXsupplier)Xpart)X(customer𝜎c_region∊['AMERICA']))𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate);8.72539612228135;6.7402122020721436
