Permutation [6 1 2 0 4 5 3] produces ((((((lineorderXsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)𝜎c_region∊['AMERICA'])𝜎s_region∊['AMERICA'])Xdate) takes 10.739697217941284 seconds.
Permutation [3 6 0 1 5 2 4] produces ((((((lineorderXdate)Xcustomer)Xsupplier)𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎c_region∊['AMERICA']) takes 19.501543045043945 seconds.
Permutation [0 2 5 1 4 6 3] produces ((((((lineorderXcustomer)Xpart)X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate) takes 11.945549011230469 seconds.
Permutation [0 1 5 2 4 6 3] produces (((((((lineorderXcustomer)Xsupplier)𝜎s_region∊['AMERICA'])Xpart)𝜎c_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])Xdate) takes 12.471821546554565 seconds.
Permutation [6 5 2 1 3 0 4] produces (((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))Xdate)Xcustomer)𝜎c_region∊['AMERICA']) takes 3.4079341888427734 seconds.
Permutation [1 5 6 4 2 0 3] produces (((((lineorderXsupplier)𝜎s_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(customer𝜎c_region∊['AMERICA']))Xdate) takes 4.44343113899231 seconds.
Permutation [2 4 0 5 6 1 3] produces (((((lineorderXpart)X(customer𝜎c_region∊['AMERICA']))𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(supplier𝜎s_region∊['AMERICA']))Xdate) takes 5.381789207458496 seconds.
Permutation [4 5 6 2 1 3 0] produces ((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))Xdate)X(customer𝜎c_region∊['AMERICA'])) takes 2.6548538208007812 seconds.
Permutation [6 2 0 1 5 4 3] produces ((((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xcustomer)Xsupplier)𝜎s_region∊['AMERICA'])𝜎c_region∊['AMERICA'])Xdate) takes 7.005971193313599 seconds.
Permutation [6 5 1 3 4 0 2] produces ((((lineorderX(supplier𝜎s_region∊['AMERICA']))Xdate)X(customer𝜎c_region∊['AMERICA']))X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])) takes 1.8025119304656982 seconds.
Permutation [3 5 0 6 4 2 1] produces (((((lineorderXdate)Xcustomer)𝜎c_region∊['AMERICA'])X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA'])) takes 9.261354446411133 seconds.
Permutation [0 3 5 1 2 6 4] produces ((((((lineorderXcustomer)Xdate)X(supplier𝜎s_region∊['AMERICA']))Xpart)𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])𝜎c_region∊['AMERICA']) takes 10.749443769454956 seconds.
Permutation [4 3 6 1 2 5 0] produces (((((lineorderXdate)Xsupplier)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))𝜎s_region∊['AMERICA'])X(customer𝜎c_region∊['AMERICA'])) takes 13.262712240219116 seconds.
Permutation [3 0 4 2 1 5 6] produces (((((((lineorderXdate)Xcustomer)𝜎c_region∊['AMERICA'])Xpart)Xsupplier)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2']) takes 12.000059843063354 seconds.
Permutation [4 1 3 2 5 6 0] produces ((((((lineorderXsupplier)Xdate)Xpart)𝜎s_region∊['AMERICA'])𝜎p_mfgr∊['MFGR#1', 'MFGR#2'])X(customer𝜎c_region∊['AMERICA'])) takes 20.524909257888794 seconds.
Permutation [6 2 3 4 5 1 0] produces ((((lineorderX(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))Xdate)X(supplier𝜎s_region∊['AMERICA']))X(customer𝜎c_region∊['AMERICA'])) takes 4.037715435028076 seconds.
Permutation [3 6 5 0 2 1 4] produces (((((lineorderXdate)Xcustomer)X(part𝜎p_mfgr∊['MFGR#1', 'MFGR#2']))X(supplier𝜎s_region∊['AMERICA']))𝜎c_region∊['AMERICA']) takes 11.961376905441284 seconds.
